client timestamp,button,state,x,y
229,NoButton,Move,515,259
238,NoButton,Move,521,267
250,NoButton,Move,526,273
263,NoButton,Move,531,279
275,NoButton,Move,540,285
286,NoButton,Move,548,290
298,NoButton,Move,557,293
310,NoButton,Move,569,297
322,NoButton,Move,582,297
334,NoButton,Move,606,297
346,NoButton,Move,671,297
358,NoButton,Move,739,297
370,NoButton,Move,814,297
382,NoButton,Move,891,307
394,NoButton,Move,957,311
406,NoButton,Move,1007,317
418,NoButton,Move,1032,320
430,NoButton,Move,1044,320
442,NoButton,Move,1052,320
454,NoButton,Move,1058,320
466,NoButton,Move,1062,319
478,NoButton,Move,1064,318
490,NoButton,Move,1066,316
502,NoButton,Move,1067,314
514,NoButton,Move,1067,313
538,NoButton,Move,1067,313
550,NoButton,Move,1065,313
562,NoButton,Move,1063,313
574,NoButton,Move,1057,315
586,NoButton,Move,1053,317
598,NoButton,Move,1047,320
610,NoButton,Move,1038,326
622,NoButton,Move,1030,331
634,NoButton,Move,1017,337
646,NoButton,Move,1005,342
658,NoButton,Move,991,348
670,NoButton,Move,978,354
682,NoButton,Move,966,360
694,NoButton,Move,952,365
706,NoButton,Move,937,372
718,NoButton,Move,917,379
730,NoButton,Move,895,388
742,NoButton,Move,867,396
754,NoButton,Move,832,405
767,NoButton,Move,799,408
778,NoButton,Move,770,411
791,NoButton,Move,737,414
803,NoButton,Move,703,418
815,NoButton,Move,679,418
826,NoButton,Move,652,422
838,NoButton,Move,631,427
850,NoButton,Move,610,431
863,NoButton,Move,590,438
874,NoButton,Move,570,447
886,NoButton,Move,540,457
898,NoButton,Move,505,465
910,NoButton,Move,479,470
922,NoButton,Move,452,475
934,NoButton,Move,433,475
946,NoButton,Move,421,473
958,NoButton,Move,413,470
970,NoButton,Move,408,465
982,NoButton,Move,406,464
994,NoButton,Move,406,463
1006,NoButton,Move,407,463
1018,NoButton,Move,411,463
1030,NoButton,Move,415,463
1042,NoButton,Move,419,463
1054,NoButton,Move,423,463
1065,NoButton,Move,428,468
1077,NoButton,Move,434,475
1090,NoButton,Move,440,483
1101,NoButton,Move,446,493
1114,NoButton,Move,455,503
1126,NoButton,Move,467,517
1138,NoButton,Move,483,529
1149,NoButton,Move,507,544
1162,NoButton,Move,529,556
1173,NoButton,Move,551,563
1190,NoButton,Move,579,567
1197,NoButton,Move,606,567
1209,NoButton,Move,641,562
1222,NoButton,Move,675,557
1234,NoButton,Move,710,549
1246,NoButton,Move,735,546
1258,NoButton,Move,756,541
1269,NoButton,Move,773,541
1281,NoButton,Move,785,539
1293,NoButton,Move,793,539
1305,NoButton,Move,801,539
1317,NoButton,Move,807,537
1329,NoButton,Move,811,535
1341,NoButton,Move,816,533
1353,NoButton,Move,821,531
1366,NoButton,Move,826,526
1378,NoButton,Move,832,521
1389,NoButton,Move,840,515
1401,NoButton,Move,849,510
1413,NoButton,Move,855,507
1425,NoButton,Move,857,505
1688,NoButton,Move,891,476
1700,NoButton,Move,921,455
1713,NoButton,Move,939,438
1724,NoButton,Move,955,427
1736,NoButton,Move,971,417
1748,NoButton,Move,981,411
1760,NoButton,Move,990,406
1772,NoButton,Move,996,401
1784,NoButton,Move,1002,398
1796,NoButton,Move,1007,393
1808,NoButton,Move,1013,390
