client timestamp,button,state,x,y
18,NoButton,Move,524,268
21,NoButton,Move,527,269
29,NoButton,Move,533,272
37,NoButton,Move,545,278
45,NoButton,Move,561,284
53,NoButton,Move,581,291
61,NoButton,Move,605,299
69,NoButton,Move,635,307
77,NoButton,Move,671,317
85,NoButton,Move,703,328
93,NoButton,Move,736,336
101,NoButton,Move,766,346
109,NoButton,Move,796,357
117,NoButton,Move,825,368
125,NoButton,Move,850,378
133,NoButton,Move,865,385
141,NoButton,Move,880,393
149,NoButton,Move,890,398
157,NoButton,Move,896,401
165,NoButton,Move,900,403
173,NoButton,Move,901,404
181,NoButton,Move,901,404
253,NoButton,Move,902,404
261,NoButton,Move,903,404
269,NoButton,Move,903,404
277,NoButton,Move,904,404
285,NoButton,Move,904,403
301,NoButton,Move,904,402
309,NoButton,Move,904,400
317,NoButton,Move,905,397
325,NoButton,Move,906,396
334,NoButton,Move,906,395
341,NoButton,Move,906,394
350,NoButton,Move,906,391
357,NoButton,Move,906,390
365,NoButton,Move,907,388
373,NoButton,Move,908,387
381,NoButton,Move,909,385
389,NoButton,Move,911,383
397,NoButton,Move,912,381
405,NoButton,Move,915,378
413,NoButton,Move,919,373
421,NoButton,Move,928,367
429,NoButton,Move,938,359
437,NoButton,Move,951,351
445,NoButton,Move,964,344
453,NoButton,Move,978,335
461,NoButton,Move,994,326
470,NoButton,Move,1009,317
477,NoButton,Move,1025,307
485,NoButton,Move,1041,298
493,NoButton,Move,1052,290
501,NoButton,Move,1064,284
510,NoButton,Move,1072,278
517,NoButton,Move,1078,274
525,NoButton,Move,1082,272
534,NoButton,Move,1084,269
542,NoButton,Move,1085,269
550,NoButton,Move,1086,268
645,NoButton,Move,1085,268
653,NoButton,Move,1081,269
661,NoButton,Move,1074,271
669,NoButton,Move,1064,272
677,NoButton,Move,1052,274
685,NoButton,Move,1037,277
693,NoButton,Move,1018,281
701,NoButton,Move,995,286
709,NoButton,Move,965,292
717,NoButton,Move,934,297
725,NoButton,Move,897,302
733,NoButton,Move,857,312
741,NoButton,Move,814,323
749,NoButton,Move,771,334
757,NoButton,Move,725,346
765,NoButton,Move,682,359
773,NoButton,Move,644,368
781,NoButton,Move,609,376
789,NoButton,Move,577,383
797,NoButton,Move,550,389
805,NoButton,Move,526,397
813,NoButton,Move,506,404
821,NoButton,Move,486,413
829,NoButton,Move,463,422
837,NoButton,Move,440,433
845,NoButton,Move,419,443
853,NoButton,Move,400,455
861,NoButton,Move,381,466
877,NoButton,Move,367,477
877,NoButton,Move,356,484
885,NoButton,Move,346,491
893,NoButton,Move,339,497
901,NoButton,Move,334,501
909,NoButton,Move,331,503
917,NoButton,Move,330,503
925,NoButton,Move,330,504
950,NoButton,Move,331,504
957,NoButton,Move,334,501
965,NoButton,Move,342,497
973,NoButton,Move,350,491
981,NoButton,Move,358,486
989,NoButton,Move,367,481
997,NoButton,Move,377,474
1005,NoButton,Move,387,468
1013,NoButton,Move,397,461
1021,NoButton,Move,407,454
1029,NoButton,Move,414,448
1037,NoButton,Move,423,441
1045,NoButton,Move,436,432
1053,NoButton,Move,451,420
1061,NoButton,Move,465,410
1069,NoButton,Move,478,401
1077,NoButton,Move,491,394
1085,NoButton,Move,502,388
1093,NoButton,Move,513,384
1101,NoButton,Move,523,380
1109,NoButton,Move,533,376
1117,NoButton,Move,541,372
1125,NoButton,Move,550,368
1133,NoButton,Move,556,364
1141,NoButton,Move,560,361
1149,NoButton,Move,566,358
1157,NoButton,Move,570,355
1165,NoButton,Move,573,353
1173,NoButton,Move,578,350
1181,NoButton,Move,582,348
1189,NoButton,Move,587,346
1197,NoButton,Move,593,346
1205,NoButton,Move,598,344
1213,NoButton,Move,605,343
1221,NoButton,Move,613,342
1229,NoButton,Move,621,342
1237,NoButton,Move,636,343
1245,NoButton,Move,652,345
1253,NoButton,Move,670,349
1261,NoButton,Move,690,356
1269,NoButton,Move,715,366
1277,NoButton,Move,743,377
1285,NoButton,Move,774,389
1293,NoButton,Move,802,401
1301,NoButton,Move,834,419
1309,NoButton,Move,866,436
1317,NoButton,Move,898,456
1325,NoButton,Move,931,482
1334,NoButton,Move,964,507
1341,NoButton,Move,995,535
1349,NoButton,Move,1027,564
1357,NoButton,Move,1055,591
1365,NoButton,Move,1081,615
1373,NoButton,Move,1107,638
1381,NoButton,Move,1130,657
1389,NoButton,Move,1152,673
1397,NoButton,Move,1168,682
1405,NoButton,Move,1180,688
1413,NoButton,Move,1190,691
1421,NoButton,Move,1199,693
1429,NoButton,Move,1206,693
1437,NoButton,Move,1214,692
1446,NoButton,Move,1222,690
1453,NoButton,Move,1229,685
1461,NoButton,Move,1233,679
1469,NoButton,Move,1238,671
1477,NoButton,Move,1242,663
1485,NoButton,Move,1246,653
1493,NoButton,Move,1250,645
1501,NoButton,Move,1253,634
1509,NoButton,Move,1256,622
1517,NoButton,Move,1260,608
