client timestamp,button,state,x,y
170,NoButton,Move,494,233
177,NoButton,Move,497,235
186,NoButton,Move,502,238
194,NoButton,Move,509,241
202,NoButton,Move,517,244
210,NoButton,Move,528,247
218,NoButton,Move,538,250
226,NoButton,Move,548,254
234,NoButton,Move,560,258
242,NoButton,Move,571,261
250,NoButton,Move,583,266
258,NoButton,Move,599,272
266,NoButton,Move,619,279
274,NoButton,Move,644,289
282,NoButton,Move,672,300
290,NoButton,Move,705,310
298,NoButton,Move,740,319
306,NoButton,Move,771,324
314,NoButton,Move,799,326
322,NoButton,Move,832,327
330,NoButton,Move,862,327
338,NoButton,Move,900,327
346,NoButton,Move,941,327
354,NoButton,Move,984,327
362,NoButton,Move,1028,327
370,NoButton,Move,1068,327
378,NoButton,Move,1104,327
386,NoButton,Move,1136,327
394,NoButton,Move,1158,327
402,NoButton,Move,1175,327
409,NoButton,Move,1188,327
418,NoButton,Move,1199,327
426,NoButton,Move,1207,327
434,NoButton,Move,1213,327
442,NoButton,Move,1219,327
450,NoButton,Move,1224,327
457,NoButton,Move,1230,327
466,NoButton,Move,1235,327
474,NoButton,Move,1237,327
482,NoButton,Move,1240,327
490,NoButton,Move,1242,326
530,NoButton,Move,1242,325
538,NoButton,Move,1242,325
546,NoButton,Move,1241,324
554,NoButton,Move,1238,321
562,NoButton,Move,1232,318
570,NoButton,Move,1224,314
578,NoButton,Move,1216,310
586,NoButton,Move,1207,307
594,NoButton,Move,1198,302
602,NoButton,Move,1188,299
610,NoButton,Move,1177,297
618,NoButton,Move,1164,295
625,NoButton,Move,1147,292
634,NoButton,Move,1124,291
642,NoButton,Move,1099,289
650,NoButton,Move,1075,289
657,NoButton,Move,1050,289
666,NoButton,Move,1026,289
674,NoButton,Move,1004,289
682,NoButton,Move,984,289
690,NoButton,Move,968,289
698,NoButton,Move,951,289
706,NoButton,Move,938,289
714,NoButton,Move,926,289
722,NoButton,Move,916,289
730,NoButton,Move,905,289
738,NoButton,Move,897,289
746,NoButton,Move,893,289
754,NoButton,Move,891,289
762,NoButton,Move,889,289
770,NoButton,Move,889,289
914,Left,Pressed,889,289
986,NoButton,Drag,888,289
994,NoButton,Drag,885,289
994,Left,Released,885,289
1002,NoButton,Move,877,288
1010,NoButton,Move,869,287
1018,NoButton,Move,858,286
1026,NoButton,Move,846,284
1034,NoButton,Move,833,283
1042,NoButton,Move,821,283
1050,NoButton,Move,808,283
1058,NoButton,Move,795,283
1066,NoButton,Move,780,283
1074,NoButton,Move,768,284
1082,NoButton,Move,757,284
1090,NoButton,Move,748,284
1098,NoButton,Move,740,284
1106,NoButton,Move,733,284
1114,NoButton,Move,727,284
1122,NoButton,Move,722,284
1130,NoButton,Move,718,284
1138,NoButton,Move,715,284
1146,NoButton,Move,712,284
1154,NoButton,Move,710,284
1162,NoButton,Move,707,284
1170,NoButton,Move,705,284
1177,NoButton,Move,702,284
