@relation vegleges

@attribute Euklideszi numeric
@attribute Xtav numeric
@attribute Ytav numeric
@attribute Pontonkentitav numeric
@attribute Sebesseg numeric
@attribute Xsebesseg numeric
@attribute Ysebesseg numeric
@attribute Atlagsebesseg numeric
@attribute Xatlagszabesseg numeric
@attribute Yatlagsebesseg numeric
@attribute Gyorsulas numeric
@attribute Xgyorsulas numeric
@attribute Ygyorsulas numeric
@attribute Pontonkentigyorsulas numeric
@attribute Xpontonkentigyosulas numeric
@attribute Ypontonkentigyorsulas numeric
@attribute jerkue numeric
@attribute jerkpontonkenti numeric
@attribute ossszszog numeric
@attribute atlagszogseb numeric
@attribute mozgaspontok numeric
@attribute milyen numeric
@attribute melyikgomb numeric
@attribute userid {0,1}

@data
850.144105,792,309,1025.12923,1.382348,1.287805,0.502439,-0.002235,2.12878,0.987173,0.002248,0.002094,0.000817,2.216154,1.883893,0.883244,0.000004,2.113947,427.504273,-0.002235,302,1,1,0
164.939383,111,122,281.093032,0.123458,0.083084,0.091317,-0.000173,0.353565,0.620163,0.000092,0.000062,0.000068,0.092237,0.044669,0.077657,0,0.011637,25.963415,-0.000173,47,1,1,0
33.376639,33,5,929.055058,0.000632,0.000625,0.000095,-0.000003,0.32628,0.162226,0,0,0,0.039194,0.033651,0.016729,0,0.004065,186.056992,-0.000003,247,1,1,0
370.946088,120,351,581.188644,0.027747,0.008976,0.026255,-0.000013,0.088371,0.21576,0.000002,0.000001,0.000002,0.034172,0.011181,0.027777,0,0.004466,74.538871,-0.000013,268,0,1,0
159.35495,155,37,161.061473,0.683927,0.665236,0.158798,0.003415,0.833333,0.198671,0.002935,0.002855,0.000682,0.107203,0.10316,0.024566,0.000013,0.013285,16.387575,0.003415,23,1,1,0
237.261459,158,177,262.114275,0.204536,0.136207,0.152586,-0.000707,0.26335,0.297046,0.000176,0.000117,0.000132,0.055463,0.033256,0.037719,0,0.007084,88.50102,-0.000707,73,1,1,0
407.416249,312,262,603.655985,0.224348,0.171806,0.144273,0.001531,0.749051,0.578235,0.000124,0.000095,0.000079,0.263993,0.201832,0.158207,0,0.09975,48.782523,0.001531,105,1,1,0
162.265215,157,41,172.912357,0.845131,0.817708,0.213542,-0.002209,0.902778,0.248275,0.004402,0.004259,0.001112,0.160876,0.145209,0.046968,0.000023,0.038489,7.58632,-0.002209,23,0,2,0
1074.936277,772,748,1371.525184,0.659875,0.47391,0.459177,0.000338,1.699927,1.840562,0.000405,0.000291,0.000282,0.227386,0.131275,0.143395,0,0.017767,24.696597,0.000338,36,1,1,0
1738.018412,1738,8,6810.218541,0.371451,0.371447,0.00171,-0.00006,4.764075,0.243456,0.000079,0.000079,0,0.93361,0.927019,0.047076,0,0.186962,11.749259,-0.00006,267,0,1,0
294.749046,294,21,369.493046,0.049663,0.049537,0.003538,-0.000082,0.296143,0.091965,0.000008,0.000008,0.000001,0.042574,0.036817,0.011086,0,0.005315,110.88068,-0.000082,127,1,1,0
185.884373,68,173,187.902101,0.059885,0.021907,0.055735,-0.000753,0.278076,0.690928,0.000019,0.000007,0.000018,0.094222,0.034977,0.086885,0,0.0119,18.742599,-0.000753,31,1,1,0
315.938285,96,301,515.665902,0.435777,0.132414,0.415172,-0.00353,0.515548,0.739169,0.000601,0.000183,0.000573,0.180253,0.097141,0.139523,0.000001,0.034384,40.342959,-0.00353,100,1,1,0
444.010135,444,3,828.432163,0.254739,0.254733,0.001721,-0.000566,0.753624,0.051682,0.000146,0.000146,0.000001,0.09626,0.094807,0.006564,0,0.012157,3.507052,-0.000566,135,1,1,0
1583.033165,1535,387,1605.439054,0.889344,0.86236,0.217416,-0.000186,3.252511,0.821505,0.0005,0.000484,0.000122,3.378708,3.230182,0.816129,0,3.367312,240.17121,-0.000186,465,1,1,0
50.009999,1,50,121.277709,0.030181,0.000604,0.030175,0.000646,0.119699,0.11166,0.000018,0,0.000018,0.025402,0.015608,0.014961,0,0.0035,49.844492,0.000646,76,1,1,0
864.801133,691,520,1844.842308,0.04321,0.034526,0.025982,0.000058,0.231007,0.164579,0.000002,0.000002,0.000001,0.043611,0.029971,0.021258,0,0.005754,521.091346,0.000058,684,1,2,0
968.14565,955,159,1647.814697,0.510356,0.503426,0.083817,0.000721,1.190507,0.561249,0.000269,0.000265,0.000044,0.200092,0.150046,0.070162,0,0.025273,12.588588,0.000721,129,1,1,0
25.019992,1,25,26,0.080192,0.003205,0.080128,-0.008054,0.000906,0.125621,0.000257,0.00001,0.000257,0.015313,0.000019,0.015294,0.000001,0.00189,10.565662,-0.008054,23,1,1,0
438.055932,438,7,733.343971,0.391821,0.391771,0.006261,-0.000428,1.363953,0.137471,0.00035,0.00035,0.000006,0.149786,0.147671,0.014558,0,0.0168,6.006715,-0.000428,55,0,1,0
1,1,0,260.861314,0.000159,0.000159,0,-0.00048,0.110529,0.061077,0,0,0,0.016992,0.013393,0.007236,0,0.002113,99.829218,-0.00048,196,0,2,0
0,0,0,74.18419,0,0,0,0.004233,0.086588,0.025529,0,0,0,0.011508,0.009833,0.002979,0,0.001384,37.404431,0.004233,74,0,1,0
526.582377,83,520,2729.610981,0.04449,0.007013,0.043934,-0.000817,0.373508,0.442876,0.000004,0.000001,0.000004,0.126531,0.070697,0.083331,0,0.024157,19.226556,-0.000817,751,1,1,0
18,18,0,18,0.025714,0.025714,0,0,0.108641,0,0.000037,0.000037,0,0.01312,0.01312,0,0,0.001641,17.87214,0,18,1,1,0
5.656854,4,4,8,0.064282,0.045455,0.045455,-0.011184,0.079487,0.065185,0.00073,0.000517,0.000517,0.04983,0.031525,0.018305,0.000008,0.018836,5.038177,-0.011184,15,1,2,0
