@relation asd

@attribute Euklideszi numeric
@attribute Xtav numeric
@attribute Ytav numeric
@attribute Pontonkentitav numeric
@attribute Sebesseg numeric
@attribute Xsebesseg numeric
@attribute Ysebesseg numeric
@attribute Atlagsebesseg numeric
@attribute Xatlagszabesseg numeric
@attribute Yatlagsebesseg numeric
@attribute Gyorsulas numeric
@attribute Xgyorsulas numeric
@attribute Ygyorsulas numeric
@attribute Pontonkentigyorsulas numeric
@attribute Xpontonkentigyosulas numeric
@attribute Ypontonkentigyorsulas numeric
@attribute jerkue numeric
@attribute jerkpontonkenti numeric
@attribute ossszszog numeric
@attribute atlagszogseb numeric
@attribute mozgaspontok numeric
@attribute milyen numeric
@attribute melyikgomb numeric
@attribute userid {0,1}

@data
80.230917,79,14,81.375978,0.198591,0.195545,0.034653,-0.000479,0.496274,0.087004,0.000492,0.000484,0.000086,0.065868,0.064094,0.010849,0.000001,0.008639,0,-0.000479,20,1,1,0
270.647372,245,115,319.617784,0.096316,0.087189,0.040925,-0.000115,0.356035,0.1664,0.000034,0.000031,0.000015,0.036554,0.029766,0.013815,0,0.003056,19.463485,-0.000115,60,1,1,0
513.658447,513,26,525.153279,0.388841,0.388342,0.019682,-0.000109,0.773705,0.101346,0.000294,0.000294,0.000015,0.117094,0.114818,0.015179,0,0.017593,80.902129,-0.000109,95,1,1,0
46.754679,31,35,427.891196,0.07052,0.046757,0.05279,-0.000824,1.205527,0.4353,0.000106,0.000071,0.00008,0.665372,0.60848,0.216917,0,0.341036,95.647969,-0.000824,161,0,2,0
367.491496,367,19,375.58193,0.056424,0.056349,0.002917,0.002183,0.532968,0.053665,0.000009,0.000009,0,0.068228,0.067154,0.006732,0,0.008662,131.946891,0.002183,85,1,1,0
912.359578,896,172,949.667891,0.831686,0.816773,0.156791,-0.000195,2.134917,0.405436,0.000758,0.000745,0.000143,0.27989,0.267401,0.051082,0.000001,0.035136,17.090557,-0.000195,53,1,1,0
158.836394,125,98,261.231148,0.806276,0.634518,0.497462,-0.001232,1.401515,0.647727,0.004093,0.003221,0.002525,0.944146,0.829388,0.395833,0.000021,0.635714,49.835399,-0.001232,88,0,2,0
264.007576,264,2,266.675613,0.446713,0.446701,0.003384,-0.000626,0.556299,0.034268,0.000756,0.000756,0.000006,0.070312,0.069598,0.004344,0.000001,0.008824,72.444655,-0.000626,59,1,1,0
191.062817,189,28,294.61159,0.888664,0.87907,0.130233,0.002656,1.688447,0.257576,0.004133,0.004089,0.000606,0.967075,0.943261,0.142677,0.000019,0.598194,74.415237,0.002656,88,0,2,0
731.312519,623,383,753.513888,0.203482,0.173344,0.106566,-0.000157,1.665688,1.044627,0.000057,0.000048,0.00003,0.169414,0.13981,0.087718,0,0.01427,12.926174,-0.000157,31,1,1,0
21.095023,11,18,79.203955,0.005756,0.003001,0.004911,0.00053,0.043234,0.072732,0.000002,0.000001,0.000001,0.011631,0.005006,0.008489,0,0.001418,21.260584,0.00053,76,1,1,0
92.195445,92,6,752.97362,0.258976,0.258427,0.016854,-0.018014,0.369639,2.234405,0.000727,0.000726,0.000047,1.314638,0.195551,1.267584,0.000002,0.819143,113.688911,-0.018014,171,0,2,0
310.692774,287,119,1405.48804,0.774795,0.715711,0.296758,0.000516,0.762796,3.589805,0.001932,0.001785,0.00074,1.955004,0.391803,1.859904,0.000005,1.049156,100.475692,0.000516,188,0,2,0
94.894678,46,83,100.767974,0.439327,0.212963,0.384259,-0.007126,0.330501,0.57716,0.002034,0.000986,0.001779,0.087796,0.041921,0.072672,0.000009,0.011145,8.700401,-0.007126,18,1,2,0
48.010416,39,28,50.494555,0.457242,0.371429,0.266667,-0.002379,0.375,0.264423,0.004355,0.003537,0.00254,0.056974,0.045673,0.032752,0.000041,0.007044,7.630275,-0.002379,13,0,2,0
104.235311,104,7,105.43319,0.342879,0.342105,0.023026,0.00305,0.757761,0.059232,0.001128,0.001125,0.000076,0.09561,0.094672,0.007356,0.000004,0.011951,12.935852,0.00305,17,1,1,0
1729.12261,1363,1064,2792.302191,0.434017,0.342118,0.267068,-0.000441,1.288349,0.723002,0.000109,0.000086,0.000067,0.219099,0.161971,0.092569,0,0.028033,241.521251,-0.000441,200,1,1,0
1748.462753,1681,481,1841.832589,0.363657,0.349626,0.100042,0.0003,1.986939,0.643134,0.000076,0.000073,0.000021,0.260556,0.243868,0.079315,0,0.032473,144.685176,0.0003,104,1,1,0
352.865413,155,317,373.275013,0.683848,0.300388,0.614341,-0.001145,0.586327,1.223987,0.001325,0.000582,0.001191,0.191019,0.081116,0.166367,0.000003,0.02707,5.108616,-0.001145,35,1,1,0
64.031242,64,2,1772.326361,0.090058,0.090014,0.002813,-0.000619,4.806271,1.72476,0.000127,0.000127,0.000004,0.644988,0.602635,0.216152,0,0.080918,23.816525,-0.000619,43,1,2,0
22.203603,18,13,27.485281,0.213496,0.173077,0.125,-0.012655,0.212891,0.197917,0.002053,0.001664,0.001202,0.186311,0.094523,0.111111,0.00002,0.106155,15.977649,-0.012655,32,0,2,0
701.462757,695,95,1434.462946,0.231889,0.229752,0.031405,0.000328,0.749553,0.357606,0.000077,0.000076,0.00001,0.115636,0.093921,0.044634,0,0.014548,111.386356,0.000328,191,1,1,0
1419.950703,1304,562,2760.831569,0.235598,0.21636,0.093247,-0.000164,0.840588,0.362746,0.000039,0.000036,0.000016,0.144206,0.124444,0.053643,0,0.021513,212.208507,-0.000164,412,1,1,0
52.952809,52,10,179.523491,0.199071,0.195489,0.037594,0.00708,0.755333,0.439812,0.000748,0.000735,0.000141,0.523518,0.429844,0.249507,0.000003,0.330458,59.751967,0.00708,100,0,2,0
53,28,45,61.743262,0.064792,0.03423,0.055012,-0.001633,0.233163,0.366862,0.000079,0.000042,0.000067,0.260926,0.13184,0.182838,0,0.149297,24.181733,-0.001633,56,1,2,0
316.891148,258,184,350.777757,1.127727,0.918149,0.654804,0.004186,1.055486,0.681653,0.004013,0.003267,0.00233,0.166287,0.135112,0.08645,0.000014,0.021472,6.536105,0.004186,34,0,2,0
340.414453,339,31,2687.890494,0.322668,0.321327,0.029384,0.003434,2.097483,1.263935,0.000306,0.000305,0.000028,0.330575,0.264801,0.159701,0,0.041971,46.061474,0.003434,129,0,2,0
441.454414,419,139,579.465745,0.070837,0.067234,0.022304,-0.000056,0.29571,0.164734,0.000011,0.000011,0.000004,0.189241,0.139296,0.079534,0,0.094219,300.815643,-0.000056,613,1,1,0
6.324555,2,6,7.414214,0.030553,0.009662,0.028986,0.001118,0.007921,0.049265,0.000148,0.000047,0.00014,0.010934,0.000787,0.010156,0.000001,0.00279,18.099173,0.001118,16,0,2,0
278.016187,278,3,462.087073,0.036045,0.036043,0.000389,-0.000015,0.847514,0.30816,0.000005,0.000005,0,0.11883,0.108116,0.038604,0,0.015239,53.115419,-0.000015,59,0,1,0
